,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long,sqft_lot15,geo_loc,distance
1,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,1951,98125,47.721,-122.319,7639,"(47.721, -122.319)",7.0141
3,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1965,98136,47.521,-122.393,5000,"(47.521, -122.393)",7.2325
4,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1987,98074,47.617,-122.045,7503,"(47.617, -122.045)",14.2878
5,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,2001,98053,47.656,-122.005,101930,"(47.656, -122.005)",16.3117
6,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1995,98003,47.31,-122.327,6819,"(47.31, -122.327)",21.5811
8,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1960,98146,47.512,-122.337,8113,"(47.512, -122.337)",7.6242
9,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,2003,98038,47.368,-122.031,7570,"(47.368, -122.031)",23.0627
11,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,1942,98115,47.69,-122.292,6000,"(47.69, -122.292)",5.4644
13,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1977,98074,47.613,-122.045,10208,"(47.613, -122.045)",14.2976
14,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1900,98107,47.67,-122.394,4850,"(47.67, -122.394)",3.8629
15,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,1979,98126,47.571,-122.375,4000,"(47.571, -122.375)",3.6806
16,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1994,98019,47.728,-121.962,14018,"(47.728, -121.962)",19.556
17,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1916,98103,47.665,-122.343,4300,"(47.665, -122.343)",3.0053
18,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1921,98002,47.309,-122.21,5095,"(47.309, -122.21)",22.6098
19,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1969,98003,47.334,-122.306,8850,"(47.334, -122.306)",20.0061
20,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,1947,98133,47.703,-122.341,4980,"(47.703, -122.341)",5.6256
22,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,1995,98092,47.327,-122.169,7005,"(47.327, -122.169)",22.09
24,329000.0,3,2.25,2450,6500,2.0,0.0,0.0,4,8,1985,98030,47.374,-122.172,6865,"(47.374, -122.172)",19.0721
25,233000.0,3,2.0,1710,4697,1.5,0.0,0.0,5,6,1941,98002,47.305,-122.218,4705,"(47.305, -122.218)",22.769
27,667000.0,3,1.0,1400,1581,1.5,0.0,0.0,5,8,1909,98112,47.622,-122.314,3861,"(47.622, -122.314)",1.7557
29,719000.0,4,2.5,2570,7173,2.0,0.0,0.0,3,8,2005,98052,47.707,-122.11,6026,"(47.707, -122.11)",12.6911
30,580500.0,3,2.5,2320,3980,2.0,0.0,0.0,3,8,2003,98027,47.539,-122.07,3980,"(47.539, -122.07)",14.3243
31,280000.0,2,1.5,1190,1265,3.0,0.0,0.0,3,7,2005,98133,47.727,-122.357,1756,"(47.727, -122.357)",7.2659
32,687500.0,4,1.75,2330,5000,1.5,0.0,0.0,4,7,1929,98117,47.682,-122.368,5000,"(47.682, -122.368)",4.2212
33,535000.0,3,1.0,1090,3000,1.5,0.0,0.0,4,8,1929,98117,47.689,-122.375,5080,"(47.689, -122.375)",4.7613
34,322500.0,4,2.75,2060,6659,1.0,0.0,0.0,3,7,1981,98058,47.428,-122.157,8720,"(47.428, -122.157)",16.1866
35,696000.0,3,2.5,2300,3060,1.5,0.0,0.0,3,8,1930,98115,47.683,-122.31,3264,"(47.683, -122.31)",4.6464
36,550000.0,4,1.0,1660,34848,1.0,0.0,0.0,1,5,1933,98052,47.662,-122.132,11467,"(47.662, -122.132)",10.5962
37,640000.0,4,2.0,2360,6000,2.0,0.0,0.0,4,8,1904,98107,47.67,-122.362,4700,"(47.67, -122.362)",3.3578
38,240000.0,4,1.0,1220,8075,1.0,0.0,0.0,2,7,1969,98001,47.334,-122.282,7800,"(47.334, -122.282)",20.1565
39,605000.0,4,2.5,2620,7553,2.0,0.0,0.0,3,8,1996,98056,47.53,-122.18,11884,"(47.53, -122.18)",10.2161
41,775000.0,4,2.25,4220,24186,1.0,0.0,0.0,3,8,1984,98166,47.445,-122.347,30617,"(47.445, -122.347)",12.2246
